,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40,Token_41,Token_42,Token_43,Token_44,Token_45,Token_46,Token_47,Token_48,Token_49,Token_50,Token_51,Token_52,Token_53,Token_54,Token_55,Token_56,Token_57,Token_58,Token_59,Token_60,Token_61,Token_62,Token_63,Token_64,Token_65,Token_66,Token_67,Token_68,Token_69,Token_70,Token_71,Token_72,Token_73,Token_74,Token_75,Token_76,Token_77,Token_78,Token_79,Token_80,Token_81,Token_82,Token_83,Token_84,Token_85,Token_86,Token_87,Token_88,Token_89,Token_90,Token_91,Token_92,Token_93,Token_94,Token_95,Token_96,Token_97,Token_98,Token_99,Token_100,Token_101
Layer_10, مش,دن, imp, escal,uro, coche,花,ază, оз, 가지, du, garden, disp,典,nd, ws, Kal,تز, Gang,ază, sap, ін, le, обла, disp, dig,ař, przep, gr, пог, Gang,ază, Spice, ін, imp, обла, disp,کن, נו�, Tra, gr, пог, ін,ază, Spice, ін, regul, puțin, disp,کن, ..., Tra, gr, מפ�, Gang,ază, Spice," """, los, puțin, kon, видов, double, «, gr, מפ�, ін,ază,ijen, ін, actual, puțin, kon,کن,دن, «, gr,-, Gang, кан,ijen, ін, las, d, disp,eng, tet, «, gr,ieri, ін, кан,ijen, ін, actual, d, disp, Ultimate, complet, «, gr, coche
Layer_11,ش, dit, bal, Integrity, 이상, coche,isch, mọc, оз, ana, o, garden, rit,典,nd, f, berühm, оз, تاج,spor, оз, pot, imp, gre, Ex, nar, Мой, przy,ad, оз, מפ�, מעו�, оз, ін, Besch, gre, zav, Know, נו�, przy, ger,-, מפ�, מעו�, оз," """, Besch, gre, imp, Ex, cau, przy, ger,-, מפ�, кан, оз," """, Besch, gre, kon, counter, przy, przy, ger,-, جم, кан, ст," """, Besch, kor, kon, קו�,دن, «, ger,-, מפ�, кан, ст, ст, Besch, gre, kon, Holding, przy, przy, ger,-, جم, кан, ст, ст, Besch, gre, ст, przy, double, przy, ger,-
Layer_12,تر, pais, bal, sw,anas, coche, bud, bud, Pflanzen," """, du,گاه,迫,ạ, przy, f, faz,-, Bud, מפ�,ales," """, la, albo, przy, nar, соп, harga, faz,-, מפ�, מפ�, מפ�,', imp, albo,tery, distr, кан, distr, ger,-, מפ�, od, מפ�,', kor, albo,tery, Ex, cau, distr, ger,ieri, מפ�, מפ�, מפ�,', imp, albo, pom, Ex, cor,gele, Theodore,ieri, מפ�, מפ�, מפ�,', actual, albo, imp, imp, кан, distr,智,ieri, מפ�, מפ�, מפ�,', imp, albo, pom,دة, uygun, «, ger,ieri, מפ�, מפ�, מפ�,', actual, gre, pom,دة, imp,具, ger,ieri
Layer_13,تر, imp, imp, Translate,스트, coche, מז�, מפ�, Pflanzen, majest, bed, (, lama,ạ, f, f, berühm,-, Bud, מפ�, sap, sắc, la, gre,용,あるいは, ام, f,فت,-, simbolo, מפ�, מפ�,高く, disting, gre, liqu, mun, aprovechando, conforme,σκο, K, simbolo, מפ�, מפ�,', las, kor, ext, су, zat, f,unjuk, K, simbolo, מפ�, מפ�,', розв, kor, […], су, aprovechando, f, […], K, simbolo, מפ�, מפ�, Zwe, las, kor, kas, су, aprovechando, f,σκο, K, simbolo, מפ�, מפ�, Zwe, зб, د, س, ут, aprovechando, кан,σκο, K, simbolo, מפ�, מפ�, Zwe, las, د, зб, Anders, aprovechando, 스,unjuk, K
Layer_14,تر, 코, milit, g,anas, du, מז�,spor, extr,lad, du, bal, sw,ạ, f, popular,ri,份, fruct, oto, puestos, la, la, af, rek, im,big, irre,ores,데,tea, מפ�, מפ�,高く, actual, la, зб, tad, aprovechando, conforme,unjuk, K,tea, מפ�, מפ�, die, las, D, зб,dit, […], ..., […], επ, bud, מפ�, מפ�, die, зб, kor, зб, зб, […], […], […], επ, bud, מפ�, מפ�, die, las, D, […], зб,τεί, […], […], επ, simbolo, מפ�, מפ�, die, зб, D, […], зб, aprovechando, […], […], επ, „, מפ�, מפ�, die, las, D, зб, зб,سط, […], […], K
Layer_15, pl, דרך, ace, 「,aked,-, מז�,spor,čím, 크, pa, viz, cad, 작, f, صرف, Tit,-, fruct, intel, die, die, v, la, ru, im, alc, 주, puesta,-,tea, י,tea,高く, הת, la, hob, ת, aprovechando, resol,unjuk,-, simbolo, spor, hab,高く, Besch, la, ru,妥, zat, Tra, ré,-, bud, מפ�, hab, des, ú, viz, […], רו, сп, […], ré,-, bud, spor, hab,高く, Besch, viz,ося, verk, сп, wonder, ré, επ, simbolo, intel, hab,高く, ú, viz, مس, Riddle, aprovechando, зак, ré, επ, asemănătoare,spor, hab, die, actual, viz, مس, Riddle,سط, зак, ré,-
Layer_16, pronunciation, če,νο, Translate, desc, du, בל�,aming, בל�,inet, pa, b, b, چ,nd, ...,فت,-, flowers, י, en, v, v, v,alle,童, onge, ...,ores,-, zach, bud, flowers, Wür,نگ, ., […],タイプ, aprovechando, onge,unjuk,-, extrater, bud, justo, die, Besch, de, […],妥, ..., ...,unjuk,-, asemănătoare, intel, de, de, anim, ., […], 기타, ode, […], ...,-, asemănătoare, intel, shining, ці,نگ, ., […], korzyst,دن, […], gr,-, asemănătoare, intel, shining, ці, ú, ., […], korzyst, aprovechando, 시, gr,-, asemănătoare, kost, shining, de,نگ, de, […], korzyst,سط, 시, gr,-
Layer_17, „, sentence, sentence, b, scr,-, 꽃, bud, 꽃, bed, b, b, b, tad, met, o, po,-, Bud, bud, en, el, o, o, Lat, im,वर, onge,ores,-, ін, bud,ová, de, ré, o, Lat,タイプ,वर, onge, кан,-,庇, bud,ová, de,نگ, o, lat,タイプ,वर, кан, кан, λί, internetowa, bud,ová, de, ré, ., […],妥,वर, кан, кан, λί, internetowa, bud,ová, de,نگ, de, 북, Lev,دن, кан, кан,نگ, internetowa, bud, 꽃, ці, ú, de, ק�, Lev,سط, […], gr,نگ, internetowa, bud, 꽃, kol,نگ, de, 클럽, Lev,سط, […], gr, najwięks
Layer_18," """, sentence, sentence, Translate, po,-, 꽃, bud, fur, bed, bed, b, b, sentence,nd, , o,-, Bud, bud, en, la, o, o, spr,abilen, alike, ...,فت,-, Prz, bud, en, de, o, de, refor, Spr,वर, wy,فت,-, asemănătoare, bud, en, la, ú, de, κλπ, Spr,वर, кан,فت,-, asemănătoare, Gang, advers, la, actual, de,<EOS_TOKEN>, zbo,fach, […],grade,-, asemănătoare, bud, spor, la,نگ, de,<EOS_TOKEN>, zbo, g, […],grade,-, asemănătoare, י, spor, kol, ú, de,<EOS_TOKEN>, zbo,سط, wy,ha,-, asemănătoare, Gang, bedside, kol,نگ, de,<EOS_TOKEN>, staw,سط, wy,ha,-
Layer_19," """,тя, sentence, g, cuales,-, du,chen, in, W, pa, b, b,ạ,nd, pos,فت,-,<, bud, en, de, ú, o, spr, sentence,rd, verb,فت,-,es, bud, en, de, ú, de,<EOS_TOKEN>, 타, tranquil,유,فت,-, Gang, bud, en, de, ú, de,<EOS_TOKEN>,<EOS_TOKEN>, tranquil, более,فت,-, Gang, Gang, en, de, ú, de,<EOS_TOKEN>, Ans,ائق,유,فت,-, Gang, bud, en, de, ú, de,<EOS_TOKEN>, zbo, pou,유,فت,-, Gang, Gang, en, de, ú, de,<EOS_TOKEN>,<EOS_TOKEN>, pou,유,فت,-, Gang, bud, en, de, ré, de,<EOS_TOKEN>,全部, Ex,유,فت,-
Layer_20," """," """,st," """, cuales,-,咲, bud, in, la, pa, b, b, Ans,nd, pos,這個,-, ret, Gang, en, la,這個, de, הע, Kor,rd, verb, przep,-,es, Gang, en, la, o, de, הג�, reins, Tro,유, przep,-, Gang, bud, en, la, ú, de,<EOS_TOKEN>, נש�, zat, […], […],-, Gang, Gang, en, la, pl, de,<EOS_TOKEN>, Paus, kon, […],فت,-, Gang, bud, en, la, flux, de, pok, Paus, comp, […],فت,-, Gang, Gang, en, de, pl, de,<EOS_TOKEN>, נש�, πού, […], przep,-, Gang, Gang, en, la, flux, de,Пов, נש�,th,유, przep,-
Layer_21," """," """,st," """, cual,-,咲,chen, in, le, au,<EOS_TOKEN>, б, الثانية,nd, [, הב,-,<, bud, in, la, arch, de,<EOS_TOKEN>,<EOS_TOKEN>,rd, verb, przep,-, Gang, bud, en, la, pl, de,<EOS_TOKEN>, reins, pon, ..., przep,-, Gang, bud, en, la, pl, de,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, […], […],-, Gang, Gang, en, la, pl, de,<EOS_TOKEN>, Paus, teste, […], […],-, Gang, bud, en, la, flux, de,<EOS_TOKEN>, Paus, teste, […], […],-, Gang, Gang, en, la, pl, de,<EOS_TOKEN>,ط, oper, […], pr,-, Gang, Gang, en, la, flux, de,<EOS_TOKEN>,ط,th, […], pr,-
Layer_22," """," """, sentence," """, flowers, flowers,咲,咲, in, la, garden, de, cad,典,nd, le, הב,-,咲,咲, in, la, garden, de,<EOS_TOKEN>, conjug,rd, le, przep,-,咲, bud, in, la, garden, de,<EOS_TOKEN>, teste, pon, […], przep,-,咲, bud, in, la, garden, de,<EOS_TOKEN>,<EOS_TOKEN>, pon, […], […],est,咲, Gang, in, la, pl, de,<EOS_TOKEN>, polit, teste, […], […],est,咲, Gang, in, la, garden, de,<EOS_TOKEN>,<EOS_TOKEN>,., […], […],est,咲, Gang, en, la,eu, de,<EOS_TOKEN>,<EOS_TOKEN>, oper, […], […],-,咲, de, in, la,eu, de,<EOS_TOKEN>,<EOS_TOKEN>,th, […], problemat,-
Layer_23," """," """, sentence," """, flowers, flowers,咲,咲, in, le, garden,;, б,Secondly,nd, le,美しい, wą,咲,咲, in, le, garden, de,<EOS_TOKEN>,<EOS_TOKEN>,rd, le, 아름다운,-,咲,咲, in, le, garden, de,<EOS_TOKEN>, teste, Pon, le,ia,-,咲,咲, in, le, garden,.,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, […], […],-,咲,咲, in, le, pl,.,<EOS_TOKEN>,<EOS_TOKEN>, teste, […], […],-,咲,咲, in, le, garden,.,<EOS_TOKEN>,<EOS_TOKEN>,., […], […],-,咲,咲, in, le, pl,.,<EOS_TOKEN>,<EOS_TOKEN>,th, […], […],-,咲,咲, in, le, garden,.,<EOS_TOKEN>,<EOS_TOKEN>,th, […],uda,-
Layer_24," """, «,st," """, flowers, flowers,咲,咲, in, le, garden,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,nd, le,美丽, flowers,咲,咲, in, le, garden,-,<EOS_TOKEN>,<EOS_TOKEN>,rd,<EOS_TOKEN>,ia, flowers,咲,咲, in, la, garden,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, gente, flowers,咲, de, in, la, pl,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, […], flowers,咲, de, in, le, pl,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,th, […], […], flowers,咲,咲, in, le, pl,.,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, […], […], flowers,咲,咲, in, le, pl,.,<EOS_TOKEN>,<EOS_TOKEN>,th, […], […],-,咲, de, in, le, garden,.,<EOS_TOKEN>,<EOS_TOKEN>,th, […], gente,-
Layer_25," """, «,st, flowers, flowers,花,咲,咲, in, le, garden, de,2,2,., la, flowers,花,咲,咲, dans, la, garden, de,<EOS_TOKEN>,3,., la, flowers, flowers,咲,咲, in, le, garden,.,<EOS_TOKEN>,4,., la, 아름다운, flowers,咲,咲, in, le, garden,.,<EOS_TOKEN>,<EOS_TOKEN>,.,<EOS_TOKEN>, 아름다운, flowers,咲,ait, in, le, garden,.,<EOS_TOKEN>,<EOS_TOKEN>,., la, 아름다운, flowers,咲,ait, in, le, garden,., ,7,., la, gente, flowers,咲,ait, in, le, garden,.,<EOS_TOKEN>,8,., la, belle, flowers,咲,ait, in, le, garden,., ,9,., la, 아름다운, flowers
Layer_26," """," """,st," """, beautiful,花,咲,咲, garden, garden, garden,".""",2,2,., la, beautiful,花,咲,ait, garden, garden, garden,.,<EOS_TOKEN>,3,., la, beautiful,花,咲,ait, dans, garden, garden,.,<EOS_TOKEN>,4,., la, belle, flowers,咲,ait, dans, le, garden,.,<EOS_TOKEN>,5,., la, belle, flowers,咲,ait, dans, le, garden,.,<EOS_TOKEN>,6,., la, belle, flowers,咲,ait, dans, le, garden,., ,7,., la, belle, flowers,咲,ит, dans, le, garden,., ,8,., la, belle, flowers,咲,ит, dans, le, garden,., ,9,., la, belle, flowers
Layer_27," """," """,st, 꽃, beautiful,花,咲,咲, dans, garden, garden,., ,2,., la, beautiful,花,咲,咲, dans, garden, garden,.,<EOS_TOKEN>,3,., la, belle, flowers,咲,ait, dans, garden, garden,.,<EOS_TOKEN>,4,., la, belle, flowers,咲,ит, dans, le, garden,.,<EOS_TOKEN>,5,., la, belle, flowers,咲,ит, dans, le, garden,.,<EOS_TOKEN>,6,., la, belle, flowers,咲,ит, dans, le, garden,., ,7,., la, belle, flowers,咲,ит, dans, le, garden,., ,8,., la, belle, flowers,咲,ит, dans, le, garden,., ,9,., la, belle, flowers
Layer_28," """," """,st," """, beautiful,花,咲,isce, dans, garden, garden,., ,2,., la, beautiful,花, flore,ait, dans, garden, garden,.,<EOS_TOKEN>,3,., la, belle, flowers,咲,ait, dans, the, garden,.,<EOS_TOKEN>,4,., la, belle, flowers,咲,ит, dans, the, garden,., ,5,., la, belle, flowers,咲,ит, dans, the, garden,.,<EOS_TOKEN>,6,., la, belle, flowers,咲,ит, dans, the, garden,., ,7,., la, belle, flowers,咲,ит, dans, the, garden,., ,8,., la, belle, flowers,咲,ит, dans, the, garden,., ,9,., la, belle, flowers
Layer_29," """, «,st, la, beautiful,花,咲,isce, dans, jardin, garden,., ,2,., la, beautiful,花, flore,ait, dans, garden, garden,.,<EOS_TOKEN>,3,., la, beautiful, flowers, fleur,ait, dans, le, garden,., ,4,., la, belle, flowers, fleur,ait, dans, le, jardin,., ,5,., la, belle, flowers, fleur,ait, dans, le, jardin,.,<EOS_TOKEN>,6,., la, belle, flowers, fleur,it, dans, le, jardin,., ,7,., la, belle, flowers, fleur,ит, dans, le, jardin,., ,8,., la, belle,花, fleur,it, dans, le, jardin,., ,9,., la, belle, flowers
Layer_30," """," """, «," """, belle,花, fleur,it, dans, le, jardin,., ,2,., la, belle,花, flore,it, dans, le, jardin,., ,3,., la, belle,花, fleur,it, dans, le, jardin,., ,4,., la, belle,花, fleur,it, dans, le, jardin,., ,5,., la, belle,花, fleur,it, dans, le, jardin,., ,6,., la, belle,花, fleur,it, dans, le, jardin,., ,7,., la, belle,花, fleur,it, dans, le, jardin,., ,8,., la, belle,花, fleur,it, dans, le, jardin,., ,9,., la, belle,花
Layer_31," """, la,.," """, j, flor, fleur,it, dans, le, jardin,., ,2,., La, belle, fleur, fleur,it, dans, le, jardin,., ,3,., La, belle, fleur, fleur,it, dans, le, jardin,., ,4,., La, belle, fleur, fleur,it, dans, le, jardin,., ,5,., La, belle, fleur, fleur,it, dans, le, jardin,., ,6,., La, belle, fleur, fleur,it, dans, le, jardin,., ,7,., La, belle, fleur, fleur,it, dans, le, jardin,., ,8,., La, belle, fleur, fleur,it, dans, le, jardin,., ,9,., La, belle, fleur
Layer_32," """,1,., La, belle, fleur, fleur,it, dans, le, jardin,., ,2,., La, belle, fleur, fleur,it, dans, le, jardin,., ,3,., La, belle, fleur, fleur,it, dans, le, jardin,., ,4,., La, belle, fleur, fleur,it, dans, le, jardin,., ,5,., La, belle, fleur, fleur,it, dans, le, jardin,., ,6,., La, belle, fleur, fleur,it, dans, le, jardin,., ,7,., La, belle, fleur, fleur,it, dans, le, jardin,., ,8,., La, belle, fleur, fleur,it, dans, le, jardin,., ,9,., La, belle, fleur
