,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40,Token_41,Token_42,Token_43,Token_44,Token_45,Token_46,Token_47,Token_48,Token_49,Token_50,Token_51,Token_52,Token_53,Token_54,Token_55,Token_56,Token_57,Token_58,Token_59,Token_60,Token_61,Token_62,Token_63,Token_64,Token_65,Token_66,Token_67,Token_68,Token_69,Token_70,Token_71,Token_72,Token_73,Token_74,Token_75,Token_76,Token_77,Token_78,Token_79,Token_80,Token_81,Token_82,Token_83,Token_84,Token_85,Token_86,Token_87,Token_88,Token_89,Token_90,Token_91,Token_92,Token_93,Token_94,Token_95,Token_96,Token_97,Token_98,Token_99,Token_100,Token_101
Layer_10, pil, Fol, dis, فوق," """,aver,arium, bel,oe, theirs, جان, Зам,λί,кар, garden, disp, pat, pun, sentence, cin, «,sa, nhất,咲,咲," """, v, د,尤其是, dis, «, Bene, kn, bel,aje, загад, جان, simet,λί, el, سر,оск, гра, language, sentence,界, гли,rog, sc,咲,咲," """, informa, د,оск, dis, «, Bene, kn, zag,aje, загад, جان, simet,λί,جا, سر, гра, гра, language, sentence,界, гли,rog, sc,咲,咲, ска, informa, د,оск, аб, «,aver, kn, zag,aje, szczegół, جان, simet,λί,جا, سر, гра, гра, language, sentence,界, гли,rog, sc,咲
Layer_11,ولي,urea, bal, eve," """, [,isch, posibil,oe, Muss, उद, whist,cript,кар, garden, faz, disp, propriu, sentence, cin, «, po, st,咲,咲," """,gesetz, garden,尤其是, ф,ewe,enta, kn, bel,aje, ряд,شو, simet, relación, el, пост, Ex, ф,سلام, sentence, planejamento, ί, po, st,咲,咲," """," """, د, Ex, ode,�,ija, kn,勾,aje, schon,شو, simet, el, el, gre, har,答,دار, sentence,ур, ί,rog, sc,咲,咲," """," """, د,оск,Embed,mě,ija, kn, образ,aje, schon,شو, instant, el, el, gre, Rote, гра,دار, sentence,ур, ί,rog, sc,咲
Layer_12,ولي,�ר�, imp, sang," """,enda, сме,aje,aje, Cub, בל�, زن,inet, veld,зам, faz, инт, wy, sentence, impr,体系,cum, nhất,咲,咲, w, la, b, р,سط, arbore, Zug, zrz, zag,ورج, והח�,شو, intel, K, disting, reproduc, р, гра,ate, sentence, نح, φ,rog, K,咲,咲, K,�ון, (, ś, ode, ś, po,Bud, zag,ورج, sumerg,شو, intel, K,جا,芽, р, гра,ش, sentence,adro, ś,rog, K,咲,咲, K,�ון, (, ś,سط,mě,gele,Bud, zag, совет, ряд,صول, instant, K, disting,芽,gele, гра, B, sentence,adro,ادم,rog, K,咲
Layer_13,طف,�ר�, imp, Verb," """,grim,aleza, מפ�,oe, Cub, בל�, nezávis,inet, disting, jardín, लग, disp, 견, pall, impr,構, servit, K,咲,uster, tw, bed, m, verg,سط, Verl, Zug,aleza,przy,hd, Bro, kr,-,fang, disting, пост, р, У, dub, sentence, ech, 사후,rog, K,咲,uster, K, Zwe, m,سط, ode, пош, po,ajes, zag,ajes, ряд,غر,-, Zwe, disting,肯定, ф, У,ي, sentence, ech,ур,rog, К,咲, rozg, K, Zwe, m,سط,دار, пош,gele,ajes, zag,ajes, ряд,غر,-, Zwe, disting,肯定, ф, У, simili, sentence, ech,ур,rog, К, kolor
Layer_14, bal,�ר�, imp, przy, ent, atr,ستان, מפ�, Bestand,onna,lessness,�תח, sólo, el, garden, लग,"""", 견, sentence,ک, nah,orum, gec, pozna,ono, (, bed, bed, im,سط, simply, Zug,iar, přitom,tea, ряд, ш,-, серв, disting, пост, р, У,ي, sentence, ech, φ,orum, K, شم, מפ�, K, bed, m,سط,سط, dil,شی,chi,ante,tea, ряд, kr,-, серв, mismo, (, р, У, pă, sentence, ech, dil,rog, K, شم, Kep, K, la, m, Tell, Кон, nadz,شی,asan,ante, war, ряд, kr,-, серв, mismo," """, р, У, pă, sentence, ech,背景,rog, К, شم
Layer_15,PN,�ר�, ace, zw, rist, bes,ستان, Nutz,तम,ηγ,lessness, responsive,λί, coche, ג�, pr,"""", Language, sentence, св,構,rog, nhất,咲, מפ�, loc, bed, ș, nab,سط, semplicemente, Wiel,aming, zag,usia, braz,شت, belly, lag, pa, ., arbitr, У, ned, sentence,�ש,ур,rog, لديها, شم, Kep, K, bed, m,سط,سط,سط, Wiel, przep, zag, дет,ector,شت, instant, lag, pa, ., ф, У, language, sentence, cog,ур,rog, |, dwa, Kep, K, la, m, Wür,سط, р, Wiel, bud, zag, Gad,ector,شت, instant, lag, cual, ., ф, У, equivalent, sentence,健,ур,rog, К, dwa
Layer_16," ""'", sentence,νο, Verb, st, scr,ستان, מפ�, [,inet,lessness, oto,inet, pa, ., b, beau, grammar, sentence, Kor, Kor, servit,덩,咲, מפ�, aw, bed, m,orsch, Kor, die, Wiel,ting, zag, Wür, coche,fi,دن, בר�, af, af,ischen, sb, ث, sentence, unf,λί, po, لديها, kost, מפ�, K, bed, m, verg, והן, zas, po,ting, zag,دن, condición,ijen, belly, los,جا, ., ф, sb, language, sentence, Stur, Verb, po,덩, kost, מפ�, K, m, m, verg, wy, zas, po, düşünce, zag,دن, condición,ijen, belly, tanto,جا, .,в, sb, language, sentence, Stur, Verb, po,ly, kost
Layer_17, sentence, sentence, sentence, Verb, k, scr, bud, מפ�, [, coche, bud, вот,inet, el, po, cad,�ב, grammar, sentence, Kor, Kor, po,ness,咲,led, aw, голов, ș,士, fra, Kor, po,ting, zag, trava, coche,fi, af, af, af, af, kor, Verb, grammar, sentence, Kor, Kor, po,ness, kost, Çiçek, aw, bed, m, zas, gesch," """, 백,ting, zag, Bestand, condición,fi, af, el, af, de, kor, sb, language, sentence, sentence,/-, po,est, kost, מפ�, is, bed, m, zas,سط, n, 백,ting, zag, Bestand, condición, afect, af, tanto, el, de, בע, sb, language, sentence, sentence, שלו�, po,est, kost
Layer_18," ""'", sentence, sentence,個別, massa, scr, aște, מפ�, [, coche, розп, Περ, dehors, el, במ�, eng,�ב, grammar, sentence, Kor, Ziel, po,شم, szl,led, aw, bed, ex,יו�,-, splash,방, za, zag, Wür,elt,اوت, af, el, af, de, kor, Verb, sentence, sentence, sentence, שי�, po,est, kost, מפ�, aw, los, m, verg,-, Gü,방,byt, zag,रक, el,اوت, af, el, el, de, kor, sb, sentence, sentence, sentence,ár, po,est, kost, מפ�, los, los, m, again,-, Gü,방,byt, zag,習, el,اوت, af, el, el, de,fach, sb, sentence, sentence, sentence,ár, po,est, kost
Layer_19," """," ""...", sentence, prost, kendine, cuales, pomiar,vedere,asă, ההו�, کردن,ught, dehors, pa, במ�, eng,�ב, grammar, sentence, Verb, Ziel,elt,شم, st,led, ech, ech, r, spl,-, rit,방,ting, zag, Wür,elt,اوت,asă, el, af, de,<EOS_TOKEN>, Verb, grammar, sentence,-, flex,rog,ness, kost, prens, sb, el, m, Absch,-, Ж,방,ting, zag, Wür,ector,اوت,asă, el, el, de, kor, Verb, grammar, sentence, sentence, flex,rog,ness, szl, in, ech, la, de, again,-, Ж,방,ting, zag,रक, el,اوت,asă, el, el, de, gesch, Verb, grammar, sentence, sentence, flex,rog,ness, kost
Layer_20," """," """,st, dis, 타,els, ingen,vedere,acc,گذ, کردن,ught, vol, pa, במ�, ger, Verb, grammar, sentence, Verb, conj, eins,شم,st, חיצ,unct, bed, pre, ger,-, mo, siguiente,ting,endente,ιστά,دید, ere,asă, el, af, de,<EOS_TOKEN>, σύ, grammar, sentence,-, es, las,ness, szl, in, sb, הע, י, dobrze,-, flex, 이것,ting,ante, Jed,grim,ting,asă, el, ech, de, impl, σύ, grammar, sentence,-, flex, las,ness, zaw, in, los, los, pre, again,-, gesch, 이것,ting,ante,रक,grim,ting,asă, el,кар, de, בת, σύ, grammar, sentence,-, flex, las,ness,咲
Layer_21," """," """,st, pr, fra, המ�, המ�, bel, הה, třeba, کردن, inside, el, af,<EOS_TOKEN>, eng, од, grammar, sentence, Verb, Verb, aur,ness, st, in,unct, bed, pre, le,-, un,itet, המ�, הע, zastos, Kou,اوت, 백, el, af, de,<EOS_TOKEN>,-, grammar, sentence,-, desc, /,ness,咲, in, front, garden, י, le,-, Die, joven, המ�,ts, prest, un,اوت, luc, el, af, de,</, Ling, grammar, sentence,-, Verb, /,ly,咲, in, kol, garden, pre, /,-, Die,ë, המ�,ts, zastos, Kou,ting,asă, el, af, de,</, Ling, grammar, sentence,-, Verb, /,ly,咲
Layer_22," """," """,st," """, fra, הב, המ�, bel, خ, بم, de, in, la, f, de, impl, од, grammar,яг, dur, Verb, הב,est,咲, in,unct, garden, est, le,-, un, siguiente,uje,عيد,これ, posible, de, in, el, af, de,<EOS_TOKEN>,-, grammar, τε,-, כ�, rest,ly,咲, in,effect, garden, pre, Verg,-, prest, sooner, de,i, prest, Grund, de, de, el, mismo, de,</, Verb, grammar, τε,-,�ו�, koszt,ly,咲, in,effect, garden, pre, Verg,-, prest,저, המ�,i, sé, Grund, de, de, el, mismo, de,</, Verb, grammar, sentence,-,�ו�, koszt,ly,咲
Layer_23," """," """,st," """, qu, 아름다운, da, bel,咲, la, de, in, la, f, de, απ, од, grammar, sentence, deg, Verb, הב,شم,咲, in, conjunction, garden,"
","
",-, le,ì, de,i, bè, posible, de, في, el, pa, de,<EOS_TOKEN>, kon, grammar, τε,-, 可, 아름다운,ly,咲, in,effect, garden, pre,"
",-, Die, joven, de,i, sé, de, de, de, el, yer, de,</, dil, grammar, τε,-, الـ, 아름다운,ly,咲, in,effect, garden, of,"
",-, le, joven, de,i, sé, de, de, in, el, yer, de,</, concord, grammar, sentence,-, ech, 아름다운,ly,咲
Layer_24," """," """,st," """, le, joven,κι, bel,咲,咲, de, in, la, ch,".""",<EOS_TOKEN>, од, grammar, morf, Verb, Verb, 뜻을, thing,咲, in, conjunction, garden,"
","
",-, rece, joven, המ�,vedere, sew,rar, de, in, el,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, inst, grammar, τε,-, she, plant,ness,咲, in, harmony, garden,.,"
",<EOS_TOKEN>, Die, joven, de,i, sew, dign, de, de, el,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, grammar, τε,-, she, plant,ness,咲, in, harmony, garden,.,"
",-, la, joven, de,i, sew, dign, de, de, el, yer, de,<EOS_TOKEN>,<EOS_TOKEN>, grammar, sentence,-, she, 아름다운,ness,咲
Layer_25," """," ""'",st," ""'", la, 아름다운, đẹp,è,咲,咲,咲, in, la, garden,".""",<EOS_TOKEN>,दन, sentence, sentence, Verb, verb, beautiful, flowers,咲, in, the, garden,"
","
",-, la, flowers, del,gia,è,rar, de, in, el,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, sentence, τε,-, she, flowers, flowers,咲, in, the, garden, of,"
",-, la, flowers, de,è,è, flore, dign, in, el,<EOS_TOKEN>, de,<EOS_TOKEN>,<EOS_TOKEN>, grammar,"
",-, the, beautiful, flowers,咲, in, the, garden,.,"
",-, la, flowers, de,è, est, Bloom, dign, in, el,<EOS_TOKEN>, de,<EOS_TOKEN>,<EOS_TOKEN>, grammar,"
",-, The, beautiful, flowers,咲
Layer_26," """," """,st," """, la, 아름다운, krás,è,咲,咲,burst, in, garden, garden,".""",<EOS_TOKEN>, sentence, sentence,oyo, Verb," """, beautiful, flowers,咲, in, the, garden,"
","
",-, la, fl, desen,è, est, fl,ida, in, el, jardin,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, sentence, morf,-, The, beautiful, flowers,咲, in, garden, garden,.,"
",-, la, fl, pię,è, est, fl,ida, in, el, garden,<EOS_TOKEN>,<EOS_TOKEN>,<EOS_TOKEN>, sentence,اقي,-, the, beautiful, flowers,咲, in, the, garden,.,"
",-, la, fl,B,è, est, fl,ida, in, el, garden,.,<EOS_TOKEN>,<EOS_TOKEN>, sentence,"
",-, the, beautiful, flowers,咲
Layer_27," """," """,st," """, la, beautiful, đẹp,è,咲,咲, dels, en, garden, garden,".""",<EOS_TOKEN>, English, sentence, Tras, translate," """, beautiful, flowers,咲, in, the, garden,"
","
", Occ, la,美しい, bel,è, es, flore,ida, en, el, jardin,.,<EOS_TOKEN>, occ, sentence, morf,-, beautiful, beautiful, flowers,咲, in, garden, garden,.,"
",-, la,美しい, bel,è, és, flore,ida, en, el, jardin,.,<EOS_TOKEN>,翻译, sentence,اقي,-, beautiful, beautiful, flowers,咲, in, the, garden,.,"
",-, la, فلور, bel,è, es, flore,ida, en, el, jardin,.,"
", English, sentence,"
",-, The, beautiful, flowers,咲
Layer_28," """," """,st," """, la, pię, krás,è, بل,咲, dels, in, garden, garden,".""",<EOS_TOKEN>, English, sentence, example,-," """, beautiful, flowers,咲, in, the, garden,"
","
", Occ, la, belles, bel,à, es, flore,ida, in, el, jardin,.,<EOS_TOKEN>,Other, sentence, example,-, The, beautiful, flowers,咲, in, the, garden,.,"
",-, la, belles, bel,è, se, flore,ida, in, el, jardin,.,<EOS_TOKEN>,例, sentence, example,-, The, beautiful, flowers,咲, in, the, garden,.,"
",-, la, flowers, bel,à, es, flore,ida, in, el, jardin,.,"
", English, sentence, example,-, The, beautiful, flowers,咲
Layer_29," """," """,st," """, la, beautiful, krás,·, flore, Els, dels, dans, el, jardin,".""",2, English, sentence, example,-, The, beautiful, flowers,咲, in, the, garden,.,"
",-, la, beautiful, bel,·, es, Flor,ida, in, el, jardin,.,<EOS_TOKEN>,-, sentence, example,-, The, beautiful, flowers,咲, in, spring, garden,.,"
",-, la, beautiful, pię,a, es, flore,ida, in, el, jardin,.,<EOS_TOKEN>,翻译, sentence, example,-, The, beautiful, flowers,咲, in, the, garden,.,"
",-, la, beautiful, pię,a, es, flor,ida, in, el, jardin,.,"
", English, sentence, example,-, The, beautiful, flowers,咲
Layer_30," """," """," """," """, la,花, krás,·, flore, flore,it, en, el, jardin,".""",<EOS_TOKEN>, English, sentence, example,-," """, beautiful, flower, blooms, in, the, garden,.,"
", Occ, la, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
", Occ, sentence,"
",-, beautiful, beautiful, flowers, blooms, in, the, garden,.,"
",-, la, flor, bel,ha, es, flor,ida, en, el, jardin,.,<EOS_TOKEN>, Occ, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, la, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
", English, sentence,"
",-, The, beautiful, flower, blooms
Layer_31," """,1," """," """,La, flor, l,a, flore, de,ida, en, el, jardin,".""","
", English, sentence,:,-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
", English, sentence,"
",-, The, beautiful, flower, is, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
", English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
", English, sentence,"
",-, The, beautiful, flower, blooms
Layer_32," """,1,.," """,La, flor, bel,ha, es, flor,ida, en, el, jardin,".""","
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms
