,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40
Layer_10,ولي, Ley, imp,ew, Крас, Зам,ъ,ъ, sc, בת,aller,ъ,ъ,ъ,ested,附, impot, Flor,为,�ב, garden, personal, terk,owe,典,nd, Train,λί, güz, af, sou,接,支, מא,л,л, הא�,Ge, afili, impot, 공동
Layer_11, pil,urea, dis, imp, Крас, רבה,Sav,ъ, sc,染, выбора,ъ, lộ, ere,ested, parameter, impot, Flor,可, γέ, garden, difer, efect, ph, Ex,nd, f,λί, ביותר, af, st,接, ins,amb,л,side,�,Ge,빙, K,寸
Layer_12," """, bal, imp,р, Verl, רבה,Sav,ъ, ú,染, impot,ъ, Sert, ere,overs, imp, tal, Flor, expans, ge, efect, difer, efect, ph,典, przy, f, min,-, af, specif, vyhl,剛,amb,ل,side, אינ�, tale, eksk, tal, גיל
Layer_13," """, ut, imp, sh, ş, ビ,Sav, s, ú,ú, והח�,ъ, s, rust, mente, Bud, tal, Flor,ovac,逸, efect, difer, efect, f,ạ, hom, f, בת, nhất, af, stil, vyhl, भव, מג,شک,side, ka, sap, sac, stil,寸
Layer_14, bal, bal, imp, g, ş, ビ, repl, s, ú, K,مار, s, s,寸, organiz,じ, legit, Flor,寸,逸, efect, personal, uz, sw, bal, polit, polit, בת,面, су, s, mon, ком,amb,ل,no, ka, awaits, vio, stil, mane
Layer_15, bal, bal, zw, g, cái,osters, ا, s, ú,صول, гра, s, lok, lok,overs,امی,و, o, ortaya, ا, efect, kre, informa, pr, pr, dil, f, cái, nhất, הב, sou, vyhl, kamp, dah, semin,اشت,اشت, zaw,δύ, instru,ép
Layer_16," ""(", Kor,νο, b, bes, spor,lear,مان, autor, dist, dispon,ъ,ъ, lok, Autor, portée, ş, verbind, ortaya, spite, efect, kre, pa, б, bal, polit, polit,بت, spor, הב, gradu, vyhl, ενα, af, enl,kem,تي, zaw, orient, af, af
Layer_17, zat," """, sentence, b, bes, ad, ad, diff,ril,oster,ъ,св, Prof, lok,oster,etz,ъ, verbind, ortaya,程序, במ�, kre, po, ast, bal, met, hab,بت, spor,دا,н,نظ, Rechts,н, enl,î, przyp, zaw, est, af, simultane
Layer_18,スク," """, sentence, g, bes, sắc, acc, کوچ,ر,ни,ъ, verbind,ستان, lok,oster, portée,ъ,ъ, ortaya, spite, במ�,concurrent, po, eng,句,nd, reg, στη, sắc, mon,н, Pey,ля, spre, hö,ро, zaw, zaw, est, af, af
Layer_19," """, Rit, sentence, g,τι, exped,ъ,مان, vyhl,ни,ъ, impres, lok, lok,κου, levant,ъ,ъ, ondan, f, במ�, preved, ambiente, eng, συ,nd, pos,i, sắc,دا,دا,دا,ля, φό, л,اشت, od,�ת, est,ъ,ъ
Layer_20," """,ivan, sentence," """, af, af,ъ,ρε, kle,ни,ъ, terre, ú, lok, زر, Gedanken,ъ, ere,ت, f, במ�, preved,بان, b, الثانية,nd, pos,τι, wą,il,н,upa,ля,ъ, л,de,a, właści, det,ъ,ulator
Layer_21," """, <<, sentence," """,i,저,ъ,н, bol,ни,ъ,щ,לה, lok,بان, in,ъ, ere, στον, kol, במ�, specif,بان, б, الثانية,nd, pos,度,ly,ъ,н,upa,-, Verl, л,î,A, właści, est,ъ,ulator
Layer_22," """," """, sentence," """,ъ,ъ,ъ,л,ъ,ни,ъ,л,ъ,ъ,ъ,ъ,ъ,ъ, in,ъ,ъ,л,ъ, б, الثانية,.,ъ,i,ъ,ъ,н,upa,-,ъ, л,コ,ά,ъ,ъ,ъ,ъ
Layer_23," """, “, sentence," """,ъ,ъ,ъ,л,ъ,ъ,ъ, n,ъ,ъ,ъ,ъ,ъ,ъ, in,ъ,ъ,л,ъ,ъ, الثانية,.,ъ,y,ъ,ъ, le,upa,-,ъ, л,ъ,ъ, se, des,ъ,ъ
Layer_24," """, “,st," """,ъ,ъ,ъ, p, Z, raz,ъ, ز,ъ,ъ,ъ,放,ъ,ъ, in,ъ,ъ,л,ъ,<EOS_TOKEN>, الثانية,nd,ъ,ъ,ъ,ъ, p,طو,-,ъ, n,ы,а,咲, det,ъ,ъ
Layer_25," """," """,st,ъ, s,花,ъ, p, pres,花,ъ, ز, د,ъ,咲,咲,ъ,ъ, in, pa,ъ,л,ъ,<EOS_TOKEN>,2,., beauty,lice,花,ъ,r,ó,咲,ъ,л,к,а,咲,咲,ъ,ъ
Layer_26," """," """,st," """, s,花,ъ, ​​, p,咲,ъ, s,ibr,ъ,咲,咲,ъ,ъ, trong, garden,ов,л,ъ,2,2,., beautiful, s,花,ъ,r,ó, k,ъ,l,к,а, se,咲,k,ъ
Layer_27," """," """,ъ,ъ,ъ,ъ,ъ, liệu, pres,咲,ъ, s,ibr,ъ,ъ,咲,ъ,ъ,ъ, garden,ъ,ъ,ъ,2,2,., beautiful,ъ, ç,ъ,р,во, k,ъ, l,к,ъ, se,咲,k,ъ
Layer_28," """," """,ъ,ъ,ъ,ъ,ъ, ​​,ăn,ъ,ъ,ц, سن,ъ,ъ,咲,ъ,ъ, في, giardino,ом,л,ъ,2,2,.,美しい,ъ, ц,ъ,r,во, k,ъ,л,к,ъ, се,咲,к,ъ
Layer_29," """, beautiful,ъ,美しい,ъ,ъ,ъ,м,ъ,ъ,ъ, се,ъ,ъ,ъ,ъ, mek,ъ, في, giardino,ом,т,., ,2,., beautiful,ъ, ç,ъ,r,во, k,ъ,л,к,ъ, се,ъ,к,ъ
Layer_30," """," """,),美しい,на,花,vet, е,ъ,咲,ъ,и,ъ,ъ,咲,咲,花,花, в, сад,ом,t,., ,2,., beautiful,на,花,ъ,r,во, к,ъ,л,к,ата, се, raz,к,ъ
Layer_31," """,ъ,.," """,на, Цвет,ъ,р,в, п,ъ,т,ъ,ъ, в, п,к,ъ, в, сад,ъ,t,., ,2,., К,ив, ц,ъ,r,в, к,ъ,л,к,ата, се, роз,к,ъ
Layer_32," """,1,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива, в, сад,ъ,т,., ,2,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива
