アーヘン	아헨
アダプター	어댑터
アダプタ	어댑터
追加	추가하기
追加	추가
加算	추가하기
加算	추가
中毒	중독
加算	덧셈
加法	덧셈
添加物	첨가물
アドレス	주소
住所	주소
アドレス	주소
追加	추가
アディ	아디
アデレード	애들레이드
アデレード	아델라이드
アデル	아델
シャン	아디
アディダス	아디다스
調整	조정
調整	조정
調節	조정
調整	조정
補正	조정
アドラー	애들러
アドラー	아들러
管理者	운영자
管理者	관리자
管理人	운영자
管理人	관리자
管理者	운영자
管理者	관리자
管理人	운영자
管理人	관리자
管理者	운영자
管理者	관리자
管理人	운영자
管理人	관리자
管理者	운영자
管理者	관리자
管理人	운영자
管理人	관리자
入場	입장료
入場	입학
入学	입장료
入学	입학
入園	입장료
入園	입학
認める	인정
訓戒	교훈
adobe	어도비
アドルフ	아돌프
養子	채택
養子	입양
採択	채택
採択	입양
礼拝	예배
副腎	부신
アドレナリン	아드레날린
エイドリアン	아드리안
アドリアーナ	아드리아나
広告	광고
adsense	애드센스
成人	성인
成人	어른
大人	성인
大人	어른
大人	성인
大人	어른
advance	미리
事前	미리
上級	고급
振興	선진
利点	혜택
利点	장점
アドバンテージ	혜택
アドバンテージ	장점
利点	장점
長所	장점
アドベンチャー	어드벤처
アドベンチャー	모험
冒険	어드벤처
冒険	모험
冒険	어드벤처
冒険	모험
広告	광고
広告	광고
助言	충고
助言	조언
アドバイス	충고
アドバイス	조언
助言	충고
助言	조언
顧問	충고
アドバイザー	충고
勧告	경보
勧告	자문
エアロ	에어로
エアロビクス	에어로빅
美学	미학
エーテル	에테르
愛着	애정
愛情	애정
アフィリエイト	제휴
所属	소속
肯定	긍정
アフガン	아프가니스탄
アフガニスタン	아프가니스탄
アフガニスタン	아프가니스탄
アフリカ	아프리카
アフリカ	아프리카
アフロ	아프로
来世	저승
来世	내세
あの世	저승
あの世	내세
午後	오후
再び	다시
再び	또다시
アゲイン	다시
アゲイン	또다시
age	연령
age	나이에
age	나이
年齢	연령
年齢	나이에
年齢	나이
エイジング	노화
老化	노화
エージェンシー	에이전시
エージェンシー	대행사
エージェンシー	대리점
代理店	에이전시
代理店	대행사
代理店	대리점
エージェント	에이전트
エージェント	요원
エージェント	대리인
代理人	에이전트
代理人	요원
代理人	대리인
エージェント	에이전트
年齢	연령
加重	악화
侵略	공격성
アジリティ	민첩성
老化	숙성
老化	노화
アグネス	아그네스
苦悩	고통
賛成	동의
同意	합의
同意	동의
合意	합의
合意	동의
協定	동의
協定	협정
協定	합의
合意	동의
合意	협정
合意	합의
協定	협약
協定	협정
アグリコラ	아그리콜라
農業	농업
農業	농지
農業	농업
アフマド	아흐메드
アフマド	아흐마드
アーメド	아흐메드
アーメド	아메드
愛知	아이치
扶助	원조
援助	원조
エイズ	에이즈
相川	아이카와
aim	조준
目的	목적
目的	목표
アイヌ	아이누어
アイヌ	아이누
空気	항공
空気	에어
空気	공기
航空	항공
航空	에어
航空	공기
エア	항공
エア	에어
エア	공기
エアバッグ	에어백
エアバス	에어버스
航空機	항공기
飛行機	항공기
飛行場	비행장
旅客機	항공기
飛行機	비행기
空港	공항
空港	국제공항
空港	공항
飛行船	비행선
通路	통로
通路	통로로
会津	아이즈
アイアース	아이아스
赤城	아카기
あかり	아카리
赤坂	아카사카
赤崎	아카사키
明石	아카시
アキ	아키
aki	아키
秋葉原	아키하바라
明子	아키코
明夫	아키오
秋田	아키타
秋山	아키야마
アラ	ala
アラバマ	앨라배마
アラジン	알라딘
アラン	앨런
アラン	알렌
アラン	알란
アラリック	알라리크
アラーム	알람
アラーム	알람
アラスカ	알래스카
アルバ	알바
オールバニ	올버니
アルバニー	올버니
アルベルト	알베르트
アルベルト	앨버트
アルバート	알베르트
アルバート	앨버트
アルベルト	알베르토
アルバム	앨범
アルバム	음반
アルバム	앨범
アルバム	음반
錬金術	연금술사
錬金術	연금술사
錬金術	연금술
アルコール	알코올
アル中	알코올
アレク	알렉
アレク	앨릭
アレック	알렉
アレック	앨릭
アレハンドロ	알레한드로
アレクセイ	알렉세이
アレッポ	알레포
アラート	경보
アラート	알림
アラート	경고
アラート	알림
アリューシャン	알류샨
alex	알렉스
alex	앨릭스
アレックス	알렉스
アレックス	앨릭스
アレクサ	알렉사
アレクサンドロス	알렉산드르
アレクサンドロス	알렉산더르
アレクサンドロス	알렉산더
アレクサンダー	알렉산드르
アレクサンダー	알렉산더르
アレクサンダー	알렉산더
アレキサンダー	알렉산드르
アレキサンダー	알렉산더르
アレキサンダー	알렉산더
アレクサンドラ	알렉산드라
アレクサンドリア	알렉산드리아
アレクセイ	알렉세이
アレクセイ	알렉세이
アレクシス	알렉시스
アレクシス	알렉세이
アルフィー	알피
アルフレッド	알프레드
アルフレッド	앨프레드
アルフレッド	앨프리드
藻類	녹조류
藻類	조류
アルジェリア	알제리
アルジェリア	알제리
アルゴリズム	알고리즘
アルゴリズム	알고리즘
アリー	알리
アリー	ali
アリ	알리
アリ	ali
ali	알리
別名	별칭
別名	별명
偽名	별칭
偽名	별명
エイリアス	별칭
エイリアス	별명
偽名	alias
偽名	별칭
偽名	별명
エイリアス	alias
エイリアス	별칭
エイリアス	별명
アリス	앨리스
エイリアン	에이리언
エイリアン	외계인
エイリアン	외계인
アライメント	정렬
アライメント	선형
配置	정렬
配置	선형
アライブ	alive
all	모두
all	전체
すべて	모두
すべて	전체
主張	혐의
アレン	앨런
アレルギー	알레르기
裏通り	골목길
裏通り	골목
裏通り	앨리
路地	골목길
路地	골목
路地	앨리
アライアンス	동맹
アライアンス	얼라이언스
アリー	앨리
アリゲーター	악어
充てる	할당
割り当てる	할당
割り当て	할당
許可	허용
許可	허용하기
合金	합금
合金	합금
アライ	앨리
アリー	앨리
アルマ	alma
アルマ	알마
アーモンド	아몬드
ほとんど	거의
ほぼ	거의
アロエ	알로에
アロハ	알로하
アロハ	알로에
アルプ	alp
alpha	알파
アルファ	알파
アルファベット	알파벳
アルファベット	문자
高山	알파인
アルプス山脈	알프스
アルプス	알프스
すでに	이미
すでに	벌써
既に	이미
既に	벌써
also	또한
また	또한
アルタ	알타
アルタイ	알타이
交互	대체
オルタナティブ	대안
オルタナティブ	얼터너티브
代替	대안
代替	얼터너티브
高度	고도
アルト	알토
alu	알루
アルミニウム	알루미늄
アルミ	알루미늄
アルミニウム	알루미늄
同窓会	동문
同窓会	동창생
同窓会	졸업생
卒業生	동문
卒業生	동창생
卒業生	졸업생
アルヴァレス	알바레스
常に	항상
常に	언제나
いつも	항상
いつも	언제나
アリッサ	앨리사
アマンダ	아만다
アマチュア	아마추어
アマチュア	아마추어
素晴らしい	놀라운
素晴らしい	어메이징
凄い	놀라운
凄い	어메이징
すごい	놀라운
すごい	어메이징
amazon	아마존
アマゾン	아마존
大使	대사
アンバサダー	대사
大使	대사
アンバサダー	대사
琥珀	앰버
琥珀	호박
アンバー	앰버
アンバー	호박
曖昧	애매하다
野心	야망
野望	야망
アンブローズ	앰브로즈
救急車	구급차
待ち伏せ	매복
アーメン	아멘
アメリカ	아메리카
アメリカン	아메리칸
アメリカン	미국인
アマースト	애머스트
アミール	아미르
弾薬	탄약
アンモニア	암모니아
アンモニウム	암모늄
弾薬	탄약
健忘	기억상실
アモール	amor
アモス	아모스
金額	금액
amp	증폭
amp	증폭기
両生類	양서류
アンプ	증폭기
アンプ	앰프
アンプ	앰프
切断	절단
アムル	amr
アムステルダム	암스테르담
アミューズメント	놀이
娯楽	놀이
エミー	에이미
ana	아나
アナ	ana
アナ	아나
アナログ	아날로그
アナログ	아날로그
分析	해석학
分析	해석
分析	분석
解析	해석학
解析	해석
解析	분석
アナリスト	분석가
アナリスト	분석가
analytics	분석
解析	분석
分析	분석
分析	분석하기
analyze	분석
analyze	분석하기
アナキズム	아나키즘
アナスタシア	아나스타샤
アナスタシア	아나스타시아
先祖	조상
先祖	조상
アンカー	앵커
アンカー	앵커
アンチョビ	멸치
アンチョビ	멸치
古代	고대
そして	그리고
アンデス	안데스
アンデルセン	안데르센
アンダーソン	앤더슨
アンドラ	안도라
アンドレ	앙드레
アンドレ	안드레
アンドレア	안드레아
アンドレアス	안드레아스
アンドリュー	앤드류
アンドリュー	앤드루
アンドリュー	안드레아
アンドリュース	앤드루스
android	안드로이드
アンドロイド	android
アンドロイド	안드로이드
アンドロメダ	안드로메다자리
アンドロメダ	안드로메다
アンドレ	안드레
アンディ	앤디
貧血	빈혈
貧血症	빈혈
貧血	빈혈
麻酔	마취
麻酔	마취제
エンジェル	천사
エンジェル	엔젤
天使	천사
天使	엔젤
アンジェラ	안젤라
アンジェラ	안젤로
angeles	앤젤레스
アンジェリク	안젤리크
アンジェロ	젤로
アンジェロ	안젤로
エンジェルス	천사
エンジェルス	천사들
天使	천사
天使	천사들
怒り	분노
アンジー	앤지
角度	각도
角度	앵글
アングル	각도
アングル	앵글
アングル	앵글
釣り	낚시
アンゴラ	앙골라
アンゴラ	앙골라
アングレーム	앙굴렘
怒り	앵그리
怒り	화나
怒り	화난
怒り	화가
アンギラ	앵귈라
アイン	anh
アニマル	애니멀
アニマル	동물
アニマル	동물학
動物	애니멀
動物	동물
動物	동물학
動物	동물들
動物	동물
アニメイト	애니메이트
アニメーション	애니메이션
アニメーション	애니메이션
アニメーター	애니메이터
アニメ	애니메이션
アニストン	애니스턴
足首	발목
アン	ann
アナ	안나
アンナ	안나
併合	병합
併合	합병
アニー	애니
注釈	주석
注釈	주석
告知	발표
告知	공지
告知	공지사항
アナウンス	발표
アナウンス	공지
アナウンス	공지사항
発表	발표
発表	공지
発表	공지사항
公表	발표
公表	공지
公表	공지사항
お知らせ	발표
お知らせ	공지
お知らせ	공지사항
アナウンス	발표
アナウンス	공지사항
アナウンス	공지
発表	발표
発表	공지사항
発表	공지
アナウンス	발표
阿野	ano
アノマリー	변칙
匿名	익명
アノニマス	익명
匿名	익명
アンサール	안사르
回答	응답
回答	정답
回答	대답해
回答	대답
回答	답변
答え	응답
答え	정답
答え	대답해
答え	대답
答え	답변
答弁	응답
答弁	정답
答弁	대답해
答弁	대답
答弁	답변
回答	답변
回答	대답
アリ	개미
アンタナナリボ	안타나나리보
南極	남극
南極大陸	남극
南極	남극
アンタレス	안타레스
アンテロープ	영양
アンテナ	안테나
触角	안테나
アンソロジー	anthology
アンソニー	안토니우스
アンソニー	앤서니
アンチ	안티
抗体	항체
抗体	항체
アンティゴネー	안티고네
アンティゴノス	안티고노스
アンティグア	앤티가
アンチモン	안티모니
アンティオコス	안티오코스
アンティーク	골동품
アンティーク	골동품
アンティーク	앤티크
antivirus	안티바이러스
アントワーヌ	앙투안
アントニヌス	안토니우스
アントニヌス	안토니누스
アントニオ	안토니오
アリ	개미
アントワープ	앤트워프
アヌ	아누
アヌビス	아누비스
肛門	항문
不安	불안
不安	염려
アンヤ	아니아
何でも	무엇이든
何でも	뭐든
何でも	아무거나
とにかく	어쨌든
とにかく	어쨌거나
あおい	아오이
aoi	아오이
青木	아오키
青森	아오모리
大動脈	대동맥
青柳	아오야기
青山	아오야마
青空	아오조라
apache	아파치
アパート	아파트
アパート	아파트
アパシー	무관심
絞り	조리개
頂点	apex
アブラムシ	진딧물
apink	에이핑크
アポロ	아폴로
謝る	사과
謝罪	사과
謝罪	사과
アプリ	어플리케이션
アピール	항소
アピール	호소
抗告	항소
抗告	호소
上告	항소
上告	호소
出演	외모
出演	모양
出演	출연
外観	외모
外観	모양
外観	출연
出演	외모
出演	출연
追記	추가
追加	추가
付録	부록
食欲	식욕
前菜	전채
前菜	반주
前菜	전채
オードブル	전채
拍手	박수
リンゴ	사과
リンゴ	애플
りんご	사과
りんご	애플
アップル	사과
アップル	애플
林檎	사과
林檎	애플
リンゴ	사과
りんご	사과
アプレット	애플릿
アプレット	애플릿
申請者	지원자
志願者	지원자
出願	애플리케이션
出願	프로그램
出願	어플리케이션
アプリケーション	애플리케이션
アプリケーション	프로그램
アプリケーション	어플리케이션
アプリケーション	애플리케이션
アプリケーション	어플리케이션
応用	응용
応募	적용
応募	적용하기
応募	신청
適用	적용
適用	적용하기
適用	신청
選任	약속
選任	예약
任用	약속
任用	예약
任命	약속
任命	예약
予約	약속
予約	예약
進入	접근법
進入	접근
アプローチ	접근법
アプローチ	접근
参道	접근법
参道	접근
承認	승인
承認	승인
おおよそ	대략적인
おおよそ	대략
近似	근사
四月	에이프릴
四月	사월
エイプリル	에이프릴
エイプリル	사월
アカバ	아카바
アクア	아쿠아
aqua	아쿠아
アクアリウム	수족관
アクアリウム	아쿠아리움
水族館	수족관
水族館	아쿠아리움
水族館	수족관
水族館	수용소
ara	아라
アラブ	아랍인
アラブ	아랍
arad	아라드
新井	아라이
荒川	아라카와
荒木	아라키
アラム	아람
アラミス	아라미스
仲裁	중재
アーク	아크
アーク	arc
arc	아크
arcade	아케이드
ゲームセンター	아케이드
アーケード	아케이드
アーチ	아치
考古学	고고학
大主教	주교
大主教	대주교
考古学	고고학
弓術	양궁
アーチェリー	양궁
アーチ	아치
アーチー	아치
アーキテクチャ	아키텍처
アーキテクチャ	건축학
アーキテクチャ	건축
建築	아키텍처
建築	건축학
建築	건축
アーキテクチャ	아키텍처
書庫	아카이브
書庫	보관
アーカイブ	아카이브
アーカイブ	보관
アーカイブ	보관
北極	북극
面積	구역
面積	영역
面積	지역
面積	면적
領域	구역
領域	영역
領域	지역
領域	면적
エリア	구역
エリア	영역
エリア	지역
エリア	면적
アレーナ	아레나
アリーナ	아레나
アルゼンチン	아르헨티나
アルゼンチン	아르헨티나인
アルゼンチン	아르헨티나
アルゼンチン	아르헨티나인
アルゼンチン	아르헨티나
アルゼンチン	아르헨티나인
アルゴン	아르곤
論証	논증
論証	인수
論証	논쟁
論証	인자
論証	인수
引数	인자
引数	인수
アーリア	aria
アーリア	아리아
アリア	aria
アリア	아리아
アリアドネー	아리아드네
アリラン	아리랑
アリストテレス	아리스토텔레스
算術	산술
アリゾナ	애리조나
アーカンソー	아칸소
アーカム	아캄
アーリントン	알링턴
arm	팔이
アルマジロ	아르마딜로
アルマゲドン	아마겟돈
アルマーニ	아르마니
アルメニア	아르메니아
アルメニア	아르메니아인
アルメニア	아르메니아어
アルメニア	아르메니아
アルメニア	아르메니아인
アーマー	갑옷
装甲	갑옷
装甲	기갑
装甲	갑옷
脇の下	겨드랑이
アームス	무기
アームストロング	암스트롱
アーミー	육군
アーミー	군대
軍隊	육군
軍隊	군대
陸軍	육군
陸軍	군대
アーノルド	아르놀트
アルノルト	아르놀트
アロン	아론
アークエット	아켓
配置	편곡
編曲	편곡
編曲	편곡
アラス	아라스
配列	어레이
配列	배열
アレイ	어레이
アレイ	배열
アレイ	배열
配列	배열
逮捕	체포
逮捕	체포
逮捕	체포
到着	입국
到着	도착
到着	도착
傲慢	오만
傲慢	거만
矢印	화살
矢印	화살표
アロー	화살
アロー	화살표
矢印	화살
矢印	화살표
アロウズ	화살
アロウズ	화살표
アルス	ars
アーセナル	아스널
アーセナル	아스날
アーセナル	arsenal
工廠	아스널
工廠	아스날
工廠	arsenal
放火	방화
art	예술
art	미술
art	아트
アート	예술
アート	미술
アート	아트
芸術	예술
芸術	미술
芸術	아트
美術	예술
美術	미술
美術	아트
アルテミス	아르테미스
動脈	동맥
動脈	동맥
動脈	동맥
関節炎	관절염
アーサー	아서
記事	기사
冠詞	기사
記事	기사
冠詞	기사
アーティ	아티
人工	인조
人工	인공
大砲	대포
芸術家	음악가
芸術家	예술가
芸術家	아티스트
芸術家	아티스트가
アーティスト	음악가
アーティスト	예술가
アーティスト	아티스트
アーティスト	아티스트가
芸術家	음악가
芸術家	예술가
芸術家	아티스트
芸術家	아티스트가
アーティスト	음악가
アーティスト	예술가
アーティスト	아티스트
アーティスト	아티스트가
arts	예술
芸術	예술
アルバ	아루바
朝日	아사히
安積	아사카
朝倉	아사쿠라
浅草	아사쿠사
浅野	아사노
石綿	석면
アセンション	어센션
アセンション	승천
恥ずかしい	부끄러워
恥ずかしい	부끄러움
アシュランド	애슐랜드
アシュリー	애슐리
アシュレイ	애슐리
アジア	아시아
アシモフ	아시모프
アスパラ	아스파라거스
アスパラガス	아스파라거스
アスファルト	아스팔트
アスピリン	아스피린
ass	엉덩이
暗殺	암살
暗殺	암살자
暗殺	암살
暗殺	암살
アサルト	폭행
アサルト	공격
暴行	폭행
暴行	공격
集まる	조립
組み立てる	조립
表明	표명
表明	주장
主張	표명
主張	주장
アセット	자산
資産	자산
アセット	자산
資産	자산
割り当てる	할당
割り当て	할당
譲渡	할당
代入	할당
割り当て	할당
代入	할당
割り当て	할당
同化	동화
援助	원조
助手	조교
助手	조수
助手	보조
アシスタント	조교
アシスタント	조수
アシスタント	보조
アシスト	어시스트
社団	협회
協会	협회
アソシエーション	협회
組合	협회
連想	연관
想定	승천
就任	승천
アスタナ	아스타나
アステリックス	아스테릭스
小惑星	소행성
小惑星	소행성
ぜんそく	천식
喘息	천식
アストン	애스턴
アストラハン	아스트라한
アストリッド	아스트리드
アストロ	아스트로
アストロ	astro
占星術	점성술
天文学	천문학
アスラ	아수라
アスワン	아스완
非対称	비대칭
非同期	비동기
アタテュルク	아타튀르크
無神論	무신론
無神論	무신론자
無神論	무신론
無神論者	무신론자
無神論者	무신론
アテーナー	아테나
アテネ	아테네
アスリート	운동선수
アスリート	육상선수
選手	운동선수
アスリート	운동선수
アスレチック	애슬레틱
アスレチックス	육상
athlon	애슬론
アトス	아토스
アトキンス	앳킨스
アトキンソン	앳킨슨
atl	애틀란타
アトランタ	애틀랜타
アトランタ	아틀란타
アトランタ	애틀란타
アトランティック	애틀랜틱
アトランティック	대서양
大西洋	애틀랜틱
大西洋	대서양
アトランティス	아틀란티스
アトラス	아틀라스
アトラス	atlas
大気	대기
大気	분위기
大気圏	대기
大気圏	분위기
雰囲気	대기
雰囲気	분위기
原子	원자
原子	아톰
アトミック	원자
原子	원자
原子	원자
添付	첨부
添付	부착
取り付ける	첨부
取り付ける	부착
差押え	첨부
添付	첨부
愛着	첨부
添付	첨부
攻撃	공격
進撃	공격
襲撃	습격
アタッカー	공격자가
攻撃	공격
試み	시도
未遂	시도
出席	출석
出席	참석
傍聴	출석
傍聴	참석
係員	승무원
出席	참석합니다
出席	참석
注目	관심
注目	주의
注目	시선
注意	관심
注意	주의
注意	시선
屋根裏	다락방
アッティラ	아틸라
服装	복장
姿勢	태도
態度	태도
態度	태도
アトリー	애틀리
アトラクション	관광지
アトラクション	명소
属性	속성
属性	속성
帰属	저작자
消耗	소모
オークランド	오클랜드
競売	경매
競売	옥션
オークション	경매
オークション	옥션
せり	경매
競売	경매
オークション	경매
アウディ	아우디
観客	타겟
観客	관객
オーディエンス	타겟
オーディエンス	관객
観客	타겟
オーディエンス	타겟
音声	오디오
オーディオ	오디오
audio	오디오
オーディション	오디션
オーディション	오디션
講堂	오디토리움
オードリー	오드리
アウクスブルク	아우크스부르크
アウグスト	아우구스트
オーガスタ	아우구스타
アウン	아웅
叔母	숙모
叔母	고모
叔母	이모
叔母	이모가
おば	숙모
おば	고모
おば	이모
おば	이모가
おばさん	이모
オーロラ	아우로라
オースチン	오스틴
オーストラリア	오스트레일리아
オーストラリア	오스트레일리아의
オーストラリア	오스트레일리아
オーストラリア	오스트레일리아의
オーストリア	오스트리아
オーストリア	오스트리아인
認証	인증
作家	작가
作家	저자
作家	제작자
作家	작성자
著者	작가
著者	저자
著者	제작자
著者	작성자
作者	작가
作者	저자
作者	제작자
作者	작성자
認可	인증
当局	당국
権威	권위
権限	권위
職権	권위
認可	승인
認可	인증
許諾	승인
許諾	인증
認可	승인
作家	작가
作家	제작자
作家	작성자
著者	작가
著者	제작자
著者	작성자
作者	작가
作者	제작자
作者	작성자
自閉症	자폐
自閉症	자폐증
自動	자동
オート	자동
自伝	자서전
オートボット	오토봇
オートボット	오토봇
autocad	오토캐드
自動	자동
オートマチック	자동
オートメーション	자동화
自動車	자동차
自律	자치구
検死	부검
検死	검시
可用性	가용성
avalon	아발론
アバンギャルド	아방가르드
アヴァターラ	아바타
アバター	아바타
アヴェ	ave
アヴェッリーノ	아벨리노
アヴェンジャー	어벤져
アベンジャーズ	어벤져스
アベンジャーズ	어벤저스
アベニュー	애비뉴
平均	평균
航空	항공
アヴィニョン	아비뇽
否認	회피
アブリル	에이브릴
受賞	수상
受賞	어워드
表彰	수상
表彰	어워드
すごい	대박
気まずい	어색한
アゼルバイジャン	아제르바이잔
吾妻	아즈마
ババ	바바
馬場	바바
ベイブ	자기
ベイブ	babe
ベーブ	자기
ベーブ	babe
babe	자기
バベル	바벨
赤ちゃん	영아
赤ちゃん	아기
ベイビー	베이비
ベイビー	아기
赤ちゃん	베이비
赤ちゃん	아기
バビロン	바빌론
バッハ	바흐
独身	총각
独身	학사
戻る	다시
戻る	뒤로
後ろ	다시
後ろ	뒤로
背中	다시
背中	뒤로
裏側	다시
裏側	뒤로
背景	배경색
背景	배경
バックグラウンド	배경색
バックグラウンド	배경
背景	배경
生い立ち	배경
バッキング	든든한
リュックサック	배낭
リュック	배낭
リュックサック	배낭
バックアップ	백업
バックアップ	백업
後方	뒤로
ベーコン	베이컨
細菌	세균
細菌	박테리아
バクテリア	세균
バクテリア	박테리아
バッド	bad
バッド	나쁜
バッド	나쁘다
悪い	bad
悪い	나쁜
悪い	나쁘다
バッジ	위젯
バッジ	배지
バッジ	뱃지
バッジ	명함
バナー	위젯
バナー	배지
バナー	뱃지
バッジ	위젯
バッジ	배지
バッジ	뱃지
バドミントン	배드민턴
百済	백제
バッグ	봉지
バッグ	가방
かばん	봉지
かばん	가방
ベーグル	베이글
ベーグル	베이글
荷物	수화물
荷物	수하물
バグラチオン	바그라티온
バッグ	가방
バハードゥル	바하두르
バーレーン	바레인
バーレーン	바레인
バーツ	바트
ベアード	베어드
ベイト	미끼
焼く	구워
ベーカー	베이커
ベーカリー	베이커리
ベーカリー	빵집
焼く	베이킹
焼成	베이킹
バクー	바쿠
残高	균형
残高	밸런스
残高	잔액
バランス	균형
バランス	밸런스
バランス	잔액
バランス	균형
バルコニー	발코니
バルコニー	발코니
ハゲ	대머리
ベール	베일
バリ	발리
バリ島	발리
バラード	발라드
バラッド	발라드
バラッド	발라드
バレリーナ	발레리나
バレエ	발레
バレエ	발레단
風船	풍선
気球	풍선
バルーン	풍선
風船	풍선
ボールペン	볼펜
ボルチモア	볼티모어
バナナ	바나나
バナナ	바나나
band	밴드
バンド	밴드
包帯	붕대
包帯	붕대
バンド	밴드
バンドン	반둥
バンコク	방콕
バングラデシュ	방글라데시
バングラデシュ	방글라데시
bangor	뱅고어
バンジョー	밴조
バンク	뱅크
バンク	은행
銀行	뱅크
銀行	은행
銀行員	은행원
銀行	은행
銀行	뱅킹
紙幣	지폐
紙幣	지폐
破産	파산
破産	파산
倒産	파산
バンクス	뱅크
バンクス	은행
バンクス	뱅크스
バナー	배너
バナー	현수
横断幕	배너
横断幕	현수
バナー	배너
横断幕	배너
宴会	연회장
宴会	연회
万歳	반자이
バンザイ	반자이
洗礼	세례
バルバドス	바베이도스
バーバラ	바바라
バーベキュー	바비큐
バーベキュー	바베큐
焼肉	바비큐
焼肉	바베큐
バーベキュー	바비큐
バーベキュー	바베큐
理容師	이발
理容師	이발사
床屋	이발
床屋	이발사
バービー	바비
バルセロナ	바르셀로나
バーコード	바코드
辛うじて	간신히
バリスタ	바리스타
バリトン	바리톤
バリウム	바륨
バーク	나무껍질
樹皮	나무껍질
大麦	보리
バーン	헛간
納屋	헛간
バーンズ	반즈
バーニー	바니
バレル	배럴
バレット	배럿
バリア	장벽
障壁	장벽
障壁	장벽
バリモア	배리모어
バート	bart
バート	바트
バーテンダー	바텐더
玄武岩	현무암
塩基	기지
塩基	베이스
base	기지
base	베이스
ベース	기지
ベース	베이스
ベースボール	베이스볼
ベースボール	야구
野球	베이스볼
野球	야구
バーゼル	바젤
地下	지하
地下	지하도
地下室	지하
地下室	지하도
基本	기본
基本	기초
基本	베이직
ベーシック	기본
ベーシック	기초
ベーシック	베이직
basic	기본
basic	기초
basic	베이직
バジリスク	바실리스크
バジリスク	바질리스크
盆地	분지
基底	기초
基底	근거
基底	기저
バスケット	바스켓
バスケット	바구니
かご	바스켓
かご	바구니
バスケ	농구
バスケットボール	농구
バスク	바스크어
バスク	바스크
バスラ	바스라
バス	베이스
バス	배스
ベース	베이스
ベース	배스
ベーシスト	베이시스트
bastion	보루
bat	박쥐
コウモリ	bat
コウモリ	박쥐
バット	bat
バット	박쥐
バッチ	배치
バッチ	일괄
ベイトマン	베이트먼
